utterance_id,speaker_id,condition,reference,transcript,wer,speaker_cosine_to_original,scoring_rule,reference_normalized,transcript_normalized,wer_normalized,wer_change
1272-128104-0000,1272,original,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MR QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL ,0.0588235294117647,1.0,english_mr_mister_v1,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,0.0,-0.0588235294117647
1272-128104-0000,1272,pitch_-3,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MR QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME YOU AS GOSPEL ,0.1764705882352941,0.1956065446138382,english_mr_mister_v1,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME YOU AS GOSPEL,0.11764705882352941,-0.05882352941176469
1272-128104-0000,1272,pitch_+3,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MR QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL ,0.0588235294117647,0.2208829820156097,english_mr_mister_v1,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,0.0,-0.0588235294117647
1272-128104-0001,1272,original,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MR QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER ,0.1,1.0,english_mr_mister_v1,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,0.0,-0.1
1272-128104-0001,1272,pitch_-3,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR DOES MULTICULTURALIST MANNER PLUS THE IMPRESSION THAT IT'S A MATTER ,0.9,0.2507945001125335,english_mr_mister_v1,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR DOES MULTICULTURALIST MANNER PLUS THE IMPRESSION THAT IT'S A MATTER,0.9,0.0
1272-128104-0001,1272,pitch_+3,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MR COULTER'S MANNER LESS INTERESTING THAN HIS MATTER ,0.2,0.1279981136322021,english_mr_mister_v1,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MISTER COULTER'S MANNER LESS INTERESTING THAN HIS MATTER,0.1,-0.1
1272-128104-0002,1272,original,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND ,0.0,1.0,english_mr_mister_v1,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,0.0,0.0
1272-128104-0002,1272,pitch_-3,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,HE TELLS US THAT AT THE FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF FLOATING BEFORE US SYMBOLIES DRAWN FROM EATING AND IF RESULTS OCCUR MOST RARELY THROUGH THE MIND ,0.1875,0.3258963227272033,english_mr_mister_v1,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,HE TELLS US THAT AT THE FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF FLOATING BEFORE US SYMBOLIES DRAWN FROM EATING AND IF RESULTS OCCUR MOST RARELY THROUGH THE MIND,0.1875,0.0
1272-128104-0002,1272,pitch_+3,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROSEBEEK LOOMING BEFORE US SIMILARLY HE'S DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND ,0.125,0.2360643893480301,english_mr_mister_v1,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROSEBEEK LOOMING BEFORE US SIMILARLY HE'S DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,0.125,0.0
1272-128104-0003,1272,original,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,HE HAS GRIEVED DOUBTS WHETHER SIR FREDERICK LAYTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA ,0.0833333333333333,1.0,english_mr_mister_v1,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,HE HAS GRIEVED DOUBTS WHETHER SIR FREDERICK LAYTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,0.08333333333333333,2.7755575615628914e-17
1272-128104-0003,1272,pitch_-3,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,HE HAS GREAT DOUBTS ABOUT OUR SUFFICIENT MAINTENANCE WORK HE IS REALLY GREAT AFTER ALL AND IN DECEMBER IN IT BUT LITTLE OF WONKY IS A CUT ,0.5416666666666666,0.207424908876419,english_mr_mister_v1,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,HE HAS GREAT DOUBTS ABOUT OUR SUFFICIENT MAINTENANCE WORK HE IS REALLY GREAT AFTER ALL AND IN DECEMBER IN IT BUT LITTLE OF WONKY IS A CUT,0.5416666666666666,0.0
