utterance_id,speaker_id,condition,reference,transcript,wer,speaker_cosine_to_original
1272-128104-0000,1272,original,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MR QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL ,0.058823529411764705,1.0
1272-128104-0000,1272,pitch_-3,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MR QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME YOU AS GOSPEL ,0.17647058823529413,0.1956065446138382
1272-128104-0000,1272,pitch_+3,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MR QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL ,0.058823529411764705,0.22088298201560974
1272-128104-0001,1272,original,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MR QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER ,0.1,1.0
1272-128104-0001,1272,pitch_-3,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR DOES MULTICULTURALIST MANNER PLUS THE IMPRESSION THAT IT'S A MATTER ,0.9,0.25079450011253357
1272-128104-0001,1272,pitch_+3,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MR COULTER'S MANNER LESS INTERESTING THAN HIS MATTER ,0.2,0.12799811363220215
1272-128104-0002,1272,original,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND ,0.0,1.0
1272-128104-0002,1272,pitch_-3,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,HE TELLS US THAT AT THE FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF FLOATING BEFORE US SYMBOLIES DRAWN FROM EATING AND IF RESULTS OCCUR MOST RARELY THROUGH THE MIND ,0.1875,0.32589632272720337
1272-128104-0002,1272,pitch_+3,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROSEBEEK LOOMING BEFORE US SIMILARLY HE'S DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND ,0.125,0.2360643893480301
1272-128104-0003,1272,original,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,HE HAS GRIEVED DOUBTS WHETHER SIR FREDERICK LAYTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA ,0.08333333333333333,1.0
1272-128104-0003,1272,pitch_-3,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,HE HAS GREAT DOUBTS ABOUT OUR SUFFICIENT MAINTENANCE WORK HE IS REALLY GREAT AFTER ALL AND IN DECEMBER IN IT BUT LITTLE OF WONKY IS A CUT ,0.5416666666666666,0.20742490887641907
1272-128104-0003,1272,pitch_+3,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,HE HAS GREAT DOUBTS MOTHER SIR FREDERICK LAYTON'S WORK IS GREAT GREAT AFTER ALL AND CAN DISCOVER IN IT A LITTLE OF ROCKY ITHACA ,0.25,0.20371069014072418
1272-128104-0004,1272,original,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LYNILLE'S PICTURES ARE A SORT OF UP GUARDS AND ATOM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MR BURKETT FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MR CARKER USED TO FLASH HIS TEETH AND MR JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR A TURKISH BATH NEXT MAN ,0.14705882352941177,1.0
1272-128104-0004,1272,pitch_-3,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,THE NELL'S VICTORS ARE A SORT OF UP GUARD AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO HOME MR BURKE FOSTER'S LANDSCAPE SMILED AT ONE MUCH IN THE SAME WAY THAT MR CARCORD USED TO FLASH HIS TEETH AND MR JOHN COLLIER GIVES HIS SINNER A CHEERFUL SLAP IN THE BACK BEFORE HE SAVES FROM A SHAMPOOER AND A TURKISH MOUTH NEXT MAN ,0.3088235294117647,0.3095255494117737
1272-128104-0004,1272,pitch_+3,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,LIDELL'S PICTURES ARE A SORT OF UP GUARDS AND ADAM PAINTINGS AND MASON'S EXQUISITE IDOLS ARE AS NATIONAL AS A JINGO POEM MR BIRKE FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MR CARKER USED TO FLASH HIS TEETH AND MR JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP IN THE BACK BEFORE HE SAYS LIKE A SHAMPOO OR IN A TURKISH BATH NEXT MAN ,0.16176470588235295,0.24401971697807312
