utterance_id,speaker_id,condition,reference,transcript,wer,speaker_cosine_to_original
2277-149896-0000,2277,original,HE WAS IN A FEVERED STATE OF MIND OWING TO THE BLIGHT HIS WIFE'S ACTION THREATENED TO CAST UPON HIS ENTIRE FUTURE,HE WAS IN A FEVERED STATE OF MIND OWING TO THE BLIGHT HIS WIFE'S ACTION THREATENED TO CAST UPON HIS ENTIRE FUTURE ,0.0,1.0
2277-149896-0000,2277,pitch_-3,HE WAS IN A FEVERED STATE OF MIND OWING TO THE BLIGHT HIS WIFE'S ACTION THREATENED TO CAST UPON HIS ENTIRE FUTURE,HE WAS IN A FEW WORDS STATE OF MIND OWING TO THE WHITE DEVICE ACTION THREATENING TO PASS UPON HIS ENTIRE FUTURE ,0.3181818181818182,0.12670044600963593
2277-149896-0000,2277,pitch_+3,HE WAS IN A FEVERED STATE OF MIND OWING TO THE BLIGHT HIS WIFE'S ACTION THREATENED TO CAST UPON HIS ENTIRE FUTURE,HE WAS IN A FEVERED STATE OF MIND OWING TO THE BLIGHT HIS LIFE'S ACTION THREATENED TO CAST UPON HIS ENTIRE FUTURE ,0.045454545454545456,0.2295060008764267
2277-149896-0001,2277,original,HE WOULD HAVE TO PAY HER THE MONEY WHICH SHE WOULD NOW REGULARLY DEMAND OR THERE WOULD BE TROUBLE IT DID NOT MATTER WHAT HE DID,HE WOULD HAVE TO PAY HER THE MONEY WHICH SHE WOULD NOW REGULARLY DEMAND OR THERE WOULD BE TROUBLE IT DID NOT MATTER WHAT HE DID ,0.0,1.0
2277-149896-0001,2277,pitch_-3,HE WOULD HAVE TO PAY HER THE MONEY WHICH SHE WOULD NOW REGULARLY DEMAND OR THERE WOULD BE TROUBLE IT DID NOT MATTER WHAT HE DID,HE WOULD HAVE TO PAY HER THE MONEY WHICH SHE WOULD NOW REGULARLY DEMAND OR THERE WOULD BE TROUBLE IT WOULD NOT MATTER WHAT HE DID ,0.038461538461538464,0.17178189754486084
2277-149896-0001,2277,pitch_+3,HE WOULD HAVE TO PAY HER THE MONEY WHICH SHE WOULD NOW REGULARLY DEMAND OR THERE WOULD BE TROUBLE IT DID NOT MATTER WHAT HE DID,HE WOULD HAVE TO PAY HER THE MONEY WHICH SHE WOULD NOW REGULARLY DEMAND OR THERE WOULD BE TROUBLE IT DID NOT MATTER WHAT HE DID ,0.0,0.20611292123794556
2277-149896-0002,2277,original,HURSTWOOD WALKED THE FLOOR MENTALLY ARRANGING THE CHIEF POINTS OF HIS SITUATION,HURSTWOOD WALKED THE FLOOR MENTALLY ARRANGING THE CHIEF POINTS OF HIS SITUATION ,0.0,1.0
2277-149896-0002,2277,pitch_-3,HURSTWOOD WALKED THE FLOOR MENTALLY ARRANGING THE CHIEF POINTS OF HIS SITUATION,FIRST PUT A BOX BEFORE MENTALLY ARRANGING THE CHIEF POINTS OF THE SITUATION ,0.5,0.1795072853565216
2277-149896-0002,2277,pitch_+3,HURSTWOOD WALKED THE FLOOR MENTALLY ARRANGING THE CHIEF POINTS OF HIS SITUATION,FIRST ONE WALKS THE FLOOR MENTALLY ARRANGING THE CHIEF POINTS OF THE SITUATION ,0.3333333333333333,0.24953025579452515
2277-149896-0003,2277,original,HE ALSO THOUGHT OF HIS MANAGERIAL POSITION,HE ALSO THOUGHT OF HIS MANAGERIAL POSITION ,0.0,1.0
